FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
124333.3203,108552,45386,41612,1241.849976,265.980011,137.6399994,344.1000061,-217.6199951,128.7400055,100.8600006,2338.639893,0.200195313,Bcells2,2_Bcells2
122436.7031,105600,54373.44141,47780,268.6000061,226.9199982,538.4700317,502.2000122,1036.949951,200.8999939,86.91999817,-250.0999908,0.5,Bcells2,8_Bcells2
102831.1406,84529,60137.44141,51285,1390.600098,310.6199951,240.8699951,129.2700043,257.6100159,526.4400024,263.2200012,5553.040039,0.599609375,Bcells2,10_Bcells2
115787.0625,101073,48547.83984,44549,221,355.2600098,943.0200195,1755.839966,736.5599976,-27.05999947,126.2799988,-72.15999603,1.700195313,Bcells2,30_Bcells2
128860.6406,114886,46380.39844,43350,433.5,219.4799957,175.7700043,563.5800171,116.25,186.1399994,-46.73999786,3215.219971,2.5,Bcells2,39_Bcells2
143010.1875,124262,76424.47656,66722,-144.5,262.2600098,227.8500061,581.25,-78.12000275,51.65999985,136.9400024,-42.63999939,3.099609375,Bcells2,44_Bcells2
60666.67969,54181,65097.12109,60129,20515.59961,615.6600342,2786.280029,1923.23999,615.6600342,55.75999832,126.2799988,2009,4.399414063,Bcells2,54_Bcells2
20963.46094,20587,13794.87988,13019,73.95000458,51.15000153,39.99000168,-33.47999954,113.4599991,-62.31999969,-60.68000031,629.7600098,6.299804688,Bcells2,61_Bcells2
56576.69922,52210,58070.32031,53314,11600.80078,578.460022,2461.709961,1639.589966,889.0800171,138.5800018,174.6600037,1706.420044,7.299804688,Bcells2,67_Bcells2
162689.7344,122854,121374.8828,92966,2920.600098,336.6600037,394.3200073,9498.089844,2390.100098,750.2999878,1516.179932,3929.439941,8.599609375,Bcells2,75_Bcells2
135664.2031,123898,82808.88281,75774,-152.1500092,143.2200012,209.25,7453.02002,1558.680054,148.4199982,841.3200073,16.39999962,10.89941406,Bcells2,99_Bcells2
130094.9609,115179,66689.03906,61295,615.4000244,410.1300049,1941.839966,1765.140015,106.9500046,35.25999832,-22.13999939,290.2799988,11,Bcells2,103_Bcells2
93103.10156,71496,78630.64063,68508,1080.349976,273.4200134,222.2700043,1164.359985,636.1199951,357.519989,133.6600037,2665,12.20019531,Bcells2,117_Bcells2
126996.5781,111658,47143.35938,43454,237.1500092,192.5099945,922.5599976,1675.859985,579.3900146,250.9199982,-33.61999893,337.019989,13.20019531,Bcells2,129_Bcells2
23096.88086,22387,12692.24023,12419,-62.90000153,-29.76000023,-43.70999908,108.8099976,0.930000007,141.8600006,18.03999901,353.4199829,13.29980469,Bcells2,130_Bcells2
131862.0781,112455,74771.83594,65287,141.1000061,185.0700073,446.3999939,284.5800171,8183.069824,-67.23999786,-41.81999969,-80.36000061,13.29980469,Bcells2,131_Bcells2
120873.8203,109162,48674.55859,45946,476,361.769989,2342.669922,2180.850098,-39.06000137,101.6800003,194.3399963,2491.97998,13.79980469,Bcells2,139_Bcells2
